Original_ID	Gene_Symbol	CON02_T2	CON05_T2	CON06_T2	CON07_T2	CON08_T2	CON09_T2	CON10_T2	CON11_T2	CON12_T2	CON13_T2	CON14_T2	CON17_T2	CON18_T2	CON19_T2	CON20_T2	CON21_T2	CON22_T2
ENSG00000223972	DDX11L1	0.04628246225614781	0.04260918788995178	0.08533188913071742	0.2563866238245333	0	0.05646074603026681	0.14766077218304838	0.11383351997841726	0	0.02903709590792039	0.07287128990821587	0.08619706434656671	0.01330012043653614	0.03036525804728437	0.04191839399421868	0.305431339759451	0.1875025002690732
ENSG00000227232	WASH7P	3.193489895674199	4.069177443490395	5.2265782092564415	3.1465631105738177	2.889308702118907	1.994946359736094	3.5860473244454605	3.82480627127482	1.1170792927520292	4.239416002556378	2.4411882119252315	3.275488445169535	4.389039744056927	1.5941760474824296	2.55702203364734	2.9096353945505595	1.6125215023140298
ENSG00000278267	MIR6859-1	0.4011146728866144	0.788269975964108	0.362660528805549	0.1864629991451151	0.6391097589940439	0.22584298412106724	0.29532154436609676	0.1366002239741007	0.3723597642506764	0.3774822468029651	0.2732673371558095	0.4432991880680574	0.5187046970249095	0.2884699514492015	0.4820615309335149	0.2250546714017007	0.30000400043051717
ENSG00000243485	MIR1302-2HG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274890	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	FAM138A	0	0	0	0	0	0	0.02109439602614976	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	OR4G4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	OR4G11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	NA	0.1234198993497275	0.2556551273397107	0.08533188913071742	0.1864629991451151	0.2529809462684757	0.188202486767556	0.4007935244968456	0.250433743952518	0.14894390570027058	0.43555643861880594	0.8015841889903745	0.06156933167611908	0.01330012043653614	0.4554788707092656	0.2934287579595308	0.19290400405860064	0.03750050005381464
ENSG00000239945	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	CICP27	0	0	0	0	0	0	0.08437758410459907	0	0	0	0	0	0	0	0	0	0
ENSG00000268903	NA	7.729171196776685	10.417946439093212	7.338542465241698	7.015670342834956	4.220787366689832	7.151694497167129	8.817457538930602	13.38682194946187	5.436452558059876	15.999439845264138	10.20198058715022	1.87170768295402	1.529513850201656	11.766537493322694	7.398596539979597	5.8514214564442195	7.237596510386227
ENSG00000269981	NA	2.144420751201515	5.624412801473635	5.162579292408403	4.894653727559271	3.5816776076957875	1.9573058623825823	5.168127026406693	7.467478910584172	2.904406161155276	8.246535237849393	9.400396398159849	1.6377442225847676	1.423112886709367	9.413229994658154	6.958453403040302	2.5720533874480083	6.375085009148489
ENSG00000239906	NA	0.01542748741871593	0.2982643152296625	0.29866161195751095	0.2563866238245333	0.07988871987425548	0.0752809947070224	0.1898495642353479	0	0	1.016298356777214	0.7104950766051047	0.0738831980113429	0.01330012043653614	0.07591314511821093	0.23055116696820277	0.0321506673431001	0.03750050005381464
ENSG00000241860	NA	0.5245345722363419	1.150448073028698	0.7679870021764568	1.3285488689089453	0.33286966614273117	0.5457872116259125	0.90705902912444	1.0700350877971223	0.521303669950947	0.9872612608692936	1.074851526146184	0.2832189257101478	0.17290156567496984	0.819861967276678	0.8383678798843737	0.2411300050732508	0.4125055005919611
ENSG00000222623	RNU6-1100P	0	0	0.02133297228267935	0	0	0	0	0	0	0.02903709590792039	0	0	0	0	0	0	0
ENSG00000241599	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	DDX11L17	0.03085497483743187	0.08521837577990357	0.25599566739215224	0.04661574978627877	0	0.0752809947070224	0.1265663761568986	0.02276670399568345	0.07447195285013529	0.1161483836316816	0	0.03694159900567145	0.02660024087307228	0.04554788707092656	0.12575518198265606	0.16075333671550052	0.525007000753405
ENSG00000279457	WASH9P	1.6353136663838894	2.364809927892324	3.157279897836544	1.5849354927334784	1.877384917045004	1.8255641216452936	2.594610711216421	2.868604703456115	1.1170792927520292	1.8583741381069057	1.8946535376136124	2.3642623363629727	2.1147191494092463	1.518262902364219	2.4103076546675744	2.6042040547911087	2.8125375040360985
ENSG00000273874	MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275135	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	NA	0.09256492451229564	0.42609187889951783	0.362660528805549	0.4894653727559272	0.26629573291418496	0.5834277089794236	0.29532154436609676	0.500867487905036	1.042607339901894	0.2613338631712836	0.3097029821099174	0.19702186136358105	0.30590277004033123	0.16700891926006403	0.23055116696820277	0.3375820071025511	0.3750050005381465
ENSG00000241670	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679	RPL23AP24	0	0	0	0	0	0.0376404973535112	0	0.02276670399568345	0.07447195285013529	0	0.01821782247705396	0	0.01330012043653614	0	0	0	0.03750050005381464
ENSG00000236743	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	NA	0.30854974837431876	0.5113102546794214	0.46932539021894576	0.419541748076509	0.4393879593084052	0.41404547088862326	0.48517110860144463	0.4325673759179856	0.3723597642506764	0.2613338631712836	1.4027723307331554	0.25859119303970013	0.3325030109134035	0.5617572738747609	0.5868575159190615	0.35365734077410116	0.3750050005381465
ENSG00000269732	WBP1LP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278566	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224813	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	CICP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	NA	0.07713743709357969	0.06391378183492767	0.10666486141339676	0.09323149957255757	0.10651829316567396	0.1505619894140448	0.2531327523137972	0.11383351997841726	0.07447195285013529	0.2032596713554428	0.1093069348623238	0.04925546534089526	0	0.1062784031654953	0.06287759099132803	0.06430133468620021	0
