Original_ID	Gene_Symbol	SCA01_T2	SCA03_T2	SCA04_T2	SCA05_T2	SCA08_T2	SCA09_T2	SCA12_T2	SCA13_T2	SCA14_T2	SCA15_T2	SCA16_T2	SCA17_T2	SCA18_T2	SCA19_T2	SCA22_T2	SCA23_T2	SCA26_T2	SCA27_T2	SCA28_T2	SCA29_T2	SCA31_T2	SCA32_T2	SCA34_T2
ENSG00000223972	DDX11L1	0	0	0.06164318334400831	0	0	0.03356954951014067	0	0	0	0.04850846917587187	0.03947846913143971	0	0.10083802642688254	0	0	0.04894962322056638	0.05733100832233611	0.19686461229602073	0	0	0.04972966214969598	0	0
ENSG00000227232	WASH7P	2.8324818295397347	3.067685942439072	3.2670887172324403	2.3547421694866695	2.3194220462643296	1.9134643220780183	1.558480111909038	2.456224311745786	1.312262794868619	4.026202941597366	1.223832543074631	0.8870848381847786	4.941063294917245	3.0416674801558963	2.380363625920352	0.9300428411907612	1.2612821830913945	3.0514014905883213	0.5124339263057843	0.16757018479868185	1.690808513089663	1.254332097395234	2.792126625911562
ENSG00000278267	MIR6859-1	0.6629212792539805	0.05680899893405689	0.24657273337603325	0	0.6013316416240855	0.30212594559126604	0	0.08772229684806378	0	0.5821016301104625	0.23687081478863828	0.29569494606159286	0.40335210570753016	0.04986340131403109	0.27204155724804024	0.09789924644113276	0	0.6890261430360726	0.6149207115669412	0	0.24864831074847987	0.19297416883003604	0.3102362917679513
ENSG00000243485	MIR1302-2HG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274890	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04824354220750901	0.06204725835359025
ENSG00000268020	OR4G4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	OR4G11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	NA	0	0.2272359957362276	0.18492955003202496	0	0.429522601160061	0.13427819804056268	0	0.26316689054419135	0	0.09701693835174374	0.7106124443659149	0.22177120954619464	0	0.09972680262806216	0.06801038931201006	0.14684886966169913	0.11466201664467222	0.7874584491840829	0.20497357052231371	0	0.09945932429939196	0.04824354220750901	0.12409451670718052
ENSG00000239945	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	CICP27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268903	NA	2.8324818295397347	8.57815883904259	1.171220483536158	5.494398395468895	12.284346393177746	3.256246302483645	0.8658222843939101	3.158002686530296	1.049810235894895	2.32840652044185	4.540023950115567	2.6612545145543356	1.0083802642688255	9.324456045723814	5.032768809088744	5.090760814938903	3.8985085659188554	6.693396818064705	2.0497357052231373	1.5081316631881363	5.221614525718078	1.4955498084327792	3.7228355012154153
ENSG00000269981	NA	3.917262104682612	5.794517891273803	0.9246477501601248	0	6.099220936472866	3.625511347095193	2.424302396302948	1.4035567495690204	1.312262794868619	1.8918302978590031	7.421952196710667	2.513407041523539	1.8150844756838855	6.332651966881948	2.176332457984322	4.062818727307009	4.1278325992082	5.709073756584601	3.1770903430958626	1.6757018479868184	4.82377722852051	1.254332097395234	3.908977276276186
ENSG00000239906	NA	0.1205311416825419	0	0	0	0.0859045202320122	0.10070864853042202	0	0	0	0	0.03947846913143971	0.11088560477309732	0	0.19945360525612435	0.06801038931201006	0	0.7453031081903695	0.19686461229602073	0.20497357052231371	0	0.04972966214969598	0.09648708441501802	0.06204725835359025
ENSG00000241860	NA	0.9039835626190644	1.022561980813024	0.18492955003202496	0	0.9449497225521344	0.8728082872636574	0.173164456878782	0.26316689054419135	0.7873576769211713	0.6306100992863344	1.3027894813375107	0.5544280238654866	0.30251407928064766	2.0942628551893057	0.4080623358720603	0.8321435947496285	1.03195814980205	0.39372922459204146	0.9223810673504116	0.16757018479868185	1.5416195266405752	0.28946125324505406	0.744567100243083
ENSG00000222623	RNU6-1100P	0	0	0	0	0	0	0	0	0	0	0.03947846913143971	0	0	0	0	0	0.11466201664467222	0	0	0	0	0.04824354220750901	0
ENSG00000241599	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
