Original_ID	Gene_Symbol	SCA01_T1	SCA03_T1	SCA04_T1	SCA05_T1	SCA09_T1	SCA08_T1	SCA12_T1	SCA13_T1	SCA14_T1	SCA15_T1	SCA16_T1	SCA17_T1	SCA18_T1	SCA19_T1	SCA22_T1	SCA23_T1	SCA26_T1	SCA27_T1	SCA28_T1	SCA29_T1	SCA31_T1	SCA32_T1	SCA34_T1
ENSG00000223972	DDX11L1	0	0	0	0	0.03217568397679878	0.06479831892307347	0	0	0	0	0	0	0.330174136052366	0	0	0.05172084176679976	0	0.09177828881147496	0	0.05703957027983118	0	0	0.09532978184959416
ENSG00000227232	WASH7P	2.5475916918623707	2.999633843335952	2.714211824837278	1.8631739282366135	1.608784198839939	3.1103193083075267	2.538355130068626	1.7961688958629356	2.300032846837974	3.751337567167625	1.208051743536174	1.129591918439785	4.18220572332997	3.70300102643381	1.2330390076625035	1.499904411237193	1.6401820557211977	2.0191223538524494	0.7959022521664285	0.3422374216789871	2.234493078162547	1.5155744448275696	1.3346169458943182
ENSG00000278267	MIR6859-1	0.5459125053990794	0.06975892658920818	0.8019262209746504	0.2866421428056329	0.4504595756751829	0.4535882324615143	0.5857742607850676	0.5321981913667958	0.27059209962799685	0.7145404889843094	0.2416103487072348	0.14119898980497309	0.330174136052366	0.3444652117612846	0.7587932354846177	0.20688336706719904	0	0.9177828881147496	0	0	0.17188408293558055	0.1377794949843245	0.38131912739837664
ENSG00000243485	MIR1302-2HG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274890	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	FAM138A	0	0.06975892658920818	0	0.2866421428056329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09532978184959416
ENSG00000268020	OR4G4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	OR4G11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	NA	0	0.5580714127136654	0.3701197942959925	0.14332107140281644	0.41828389169838415	0.2591932756922939	0.39051617385671167	0.06652477392084948	0.20294407472099765	0.08931756112303868	0.1208051743536174	0.28239797960994617	0.11005804535078868	0.602814120582248	0.28454746330673164	0.15516252530039928	0.5788877843721874	0.3671131552458999	0.4775413512998571	0.17111871083949354	0	0	0.19065956369918832
